TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
247.942675737,-176.22,7.11478,1.81788,7.71574,-3.90045,0.752044,-0.675945,4.66849,0.746521,3.16858,1.11352,2.12423,1.17497,2.84121,4.43277,1.56314,1.28681,0.888466,0.790844,0.544467,1.51162
247.965895692,-154.978,4.31293,4.5596,7.53523,3.13789,5.47344,-0.0309564,-0.144867,-2.5875,-3.19737,-4.93856,-1.28537,-0.322679,0.422572,-4.61092,-4.05516,-3.28199,-3.1962,-3.42524,-2.77757,-1.30093
247.989115646,-175.278,6.9344,5.94894,4.27534,6.53848,11.1956,7.70725,4.16994,-2.42364,-1.10408,-1.87773,-0.612536,0.339096,1.32812,-0.657796,-1.64598,-3.69164,-3.79158,-3.70557,-0.697819,-1.46831
248.012335601,-191.723,12.9689,4.19659,8.39856,5.00755,8.3494,5.06362,8.41489,7.7744,5.69985,0.144787,1.26789,-0.319952,-0.0758854,-0.199328,-0.387445,0.924089,-0.832628,-1.42531,0.307265,-0.911811
248.035555556,-192.001,7.0267,1.77611,11.8468,10.739,7.99225,6.08878,6.88788,6.4311,0.677663,0.231278,3.82323,-0.260742,1.70898,1.7021,1.58562,1.6991,1.34578,2.48497,0.726486,-0.324779
248.058775510,-174.612,6.21076,5.58684,7.30767,4.09908,9.44779,4.49137,5.50278,0.365183,0.872429,-1.20107,1.42623,-0.205816,2.76284,3.44181,4.97883,5.51982,2.58728,1.98466,2.41691,-1.5678
248.081995465,-181.489,10.4408,3.03044,4.20002,0.383807,9.20378,2.28588,6.30781,1.04004,0.962545,-0.902356,3.47788,0.659541,4.13573,3.28614,5.69392,6.12116,5.15703,1.61227,-0.532545,-1.79137
248.105215420,-207.327,3.63954,2.0603,3.74332,1.08592,14.1257,9.11005,10.0809,2.80072,5.04056,3.09158,6.84903,2.38614,3.87917,0.954782,0.936675,-0.571143,1.69837,-0.468121,-0.328229,-0.591554
248.128435374,-212.365,8.1979,0.851879,2.08659,0.35099,10.6856,6.48462,10.4392,4.1571,5.57248,2.71464,5.08825,2.68556,7.65913,3.77878,3.82104,-2.94333,0.00613368,-2.59756,-2.02005,-2.06532
248.151655329,-140.107,-2.49818,7.65603,5.82515,-2.42979,4.49709,0.0362541,0.896391,-2.10617,2.1026,-0.99314,3.47203,2.93361,2.73562,2.67389,0.990233,2.42266,1.25429,-0.605343,-0.0436774,0.756205
