TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
9.102222222,0.650162,0.0946691,0.595039,0.477177,0.335423,0.263877,0,1.31008,0.468564,0.476445,0.872341,1.64669
9.148662132,0.645241,0.350655,0.489478,0.471092,0.343014,0.239021,0,0.630843,0.653842,0.710972,1.00074,1.64276
9.195102041,0.578315,0.377168,0.647399,0.476927,0.250125,0.393908,0,0.328048,0.908636,0.856953,1.04642,1.54947
9.241541950,0.523582,0.443626,0.699154,0.504324,0.315902,0.468111,0.0948506,0.267313,1.03279,0.87755,1.0612,1.2892
9.287981859,0.601141,0.519467,0.722727,0.459472,0.222918,0.716359,0.339408,0.479489,0.854745,0.674715,0.875295,1.28393
9.334421769,0.640715,0.929187,1.54709,0.450136,0.230168,1.14668,0.232501,1.1952,0.418335,0.313653,0.433143,1.54999
9.380861678,0.120894,0.928775,1.64967,0.129645,0.0767788,0.762682,0.220569,2.06521,0.070483,0.280953,0.239814,1.46807
9.427301587,0.0717467,0.649233,1.62164,0.0486738,0.0802036,0.609689,0.127777,2.23571,0.0160559,0.129069,0.169287,1.36245
9.473741497,0.1828,0.204169,1.01697,0.258405,0.274414,0.360365,0,2.3109,0.270072,0.178615,0.803298,1.2333
9.520181406,0.662585,0.187565,0.684978,0.493818,0.437199,0.301627,0,1.18297,0.502876,0.730088,0.876792,1.17163
9.566621315,0.63828,0.386427,0.212156,0.567313,0.488561,0.151485,0,0.67931,0.76145,0.920992,1.21683,0.870624
9.613061224,0.539627,0.514123,0.259064,0.494842,0.512815,0.211617,0,0.37213,0.884593,0.974671,1.42965,0.652826
9.659501134,0.525536,0.49868,0.224153,0.454721,0.470429,0.351791,0,0.315662,1.02927,0.978042,1.48584,0.465926
9.705941043,0.547265,0.233059,0.132484,0.45073,0.488573,0.600272,0.00428706,0.407653,1.03182,0.878786,1.18633,0.352748
